"track_id","track_name","duration","explicit"
"2RaKlveGCllSaXloN8kmzV","Alien","208946","0"
"0WFgtxiLNr99YaoSdYR3Ud","Honda Civic","158060","1"
"6oX9RuILbVIglevEhbg8iM","KARMA","255133","0"
"24Yi9hE78yPEbZ4kxyoXAI","Roses - Imanbek Remix","176840","1"
"2kkcJ8tSDV42LdWcPjy6We","Wieder Lila","188057","1"
"5YbcMbH4xHRfep9rSxLRDt","Adriana","165129","0"
"07f2b3CTdgKKlhv0mqUksz","Vermissen (feat. Henning May)","161882","1"
"7CzSP7spDpZBP8edbtPIwI","Unnormal","199874","1"
"3uhTOxvu2h2YEm0uPNF2vi","Doch in der Nacht","191760","1"
"0TId5TSbdcBP32haUV4Aet","Stars","165468","0"
"5sMugAU31Ug5SAUUbhBIKU","Eiskalt","151557","0"
"3Dkfcd3DbXGVmM05KCRuFA","CASINO ROYAL","171355","1"
"1DFD5Fotzgn6yYXkYsKiGs","Piece Of Your Heart","152913","0"
"6AFIVhbJLR7YVvW9fLFMu1","Huracan","182238","1"
"3jCMdvc8bFOKChETbFV9Zc","Better","200653","0"
"1lht8jb3c6rEiVaqX94enH","Light","185915","0"
"2B1hRfTwS9HtP1MxAma1nu","STAR","162173","0"
"2Jij6ebp6ToNKOn5DWlGxV","Mary","158282","1"
"0qaWEvPkts34WF68r8Dzx9","Turn Me On (feat. Vula)","208473","0"
"6oJ6le65B3SEqPwMRNXWjY","Higher Love","228267","0"
"2GdxQw8NwoeH8tKySg6nym","Torn","198005","0"
"7gqefhSJfWyN1qQ2huvEze","Hoch","168253","0"
"3Zigq1lfHmFRlyoRrh9k2s","Kein Problem","139693","0"
"3uQp3pxHqAcNTREQeZrbkv","Little Help","228120","0"
"6WSwle8wTdJhOGEukwTxWf","95 BPM","154105","1"
"5tZWtGT65sMrDVPB5H444n","Castles","211842","0"
"0mjAU3yKR1QnXnHtjGJqTM","Rescue Me","158899","0"
"1xdj09kwlmFmVONYaYyNsY","Himmel grau","176228","0"
"0YU17F0BlVXvmx5ytsR43w","Monster","154226","0"
"3QIrkRSTz3yPd44HzN6qJr","Summer Cem (feat. Luciano)","160546","1"
"02itaCXOdC54J0ISjqqFAp","All Around The World (La La La)","147840","0"
"2L0H5LWEuIAvrzfzTruyCB","Tiffany","178648","1"
"4isVKxoLiuaSROsXno2XWq","Puls steigt","165001","0"
"2d3WpbJFBND2vwMJyULdfU","Kein Plan","155017","0"
"4Ta3PhWmY50ZLU1uhKFKPE","Outnumbered","245699","0"
"4Bj3usjRTckEJARO0dLbDf","Kokain","209231","1"
"5opjywL6TBjJRF22TcFDMo","Jetzt rufst du an","151887","0"
"4jp4Z02kzzg8gK0NmDGgml","Play","167976","0"
"2QpxC2yag7Ec7Ut1dovXKb","Diamonds (feat. Capital Bra)","197013","1"
"6kga9ZYARzHBprnLOENrMQ","194 Länder - Single Version","220893","0"
"05Mp2UJulSttxQ4E6hQPH3","Ohne mein Team","188503","1"
"69NQ59CGoIRVTjdecpHfBQ","Alessandra Ambrosio","141690","0"
"7r55d7IhAj5UGKiYbXBwRP","Prinzessa","178000","1"
"1s0nANz8q6gEZOms034GbU","PHANTOM (feat. Summer Cem)","170226","0"
"0E9ZjEAyAwOXZ7wJC0PD33","In My Mind","184560","0"
"43zdsphuZLzwA9k4DJhU0I","when the party's over","196077","0"
"2grAr8pWMuLWn8ZYEE9wDV","Never Seen the Rain","200755","0"
"2zoNNEAyPK2OGDfajardlY","Rushing Back","231663","0"
"23TPP1eeElFfvYVznskwCY","Glitter","180146","0"
"4hPpVbbakQNv8YTHYaOJP4","One Thing Right","181823","0"
"6y1UtRcHQU07aUs3oxZ8Yn","Sorry","188640","0"
"36orMWv2PgvnzXsd5CJ0yL","Post Malone (feat. RANI)","174444","0"
"5qmq61DAAOUaW8AUo8xKhh","Truth Hurts","173325","1"
"6WiGRFQfx2qw49MA7OeDYK","Purple Hat","178369","0"
"0gCNs3jCCDhObAK0MRghtv","Catching Feelings (feat. SIX60)","218854","0"
"2iUXsYOEPhVqEBwsqP70rE","Youngblood","203417","0"
"5a6pdCHlWS2ekOOQ70QnAr","July","156106","0"
"2VxeLyX666F8uXCJ0dZF8B","Shallow","215733","0"
"26wLOs3ZuHJa2Ihhx6QIE6","Teeth","204887","0"
"1JGb28R23RdtKZYT4XOf7u","Tell Em I'm Doing Eetswa","151327","1"
"4jAIqgrPjKLTY9Gbez25Qb","Lights Up","172213","0"
"5dW1VZPcFqB4n0P08rGDgm","The Git Up","200593","0"
"003vvx7Niy0yvhvHt4a68B","Mr. Brightside","222973","0"
"5qrSlOut2rNAWv3ubArkNy","Be Alright","196493","1"
"6U0FIYXCQ3TGrk4tFpLrEA","SUGAR","204533","1"
"1tNJrcVe6gwLEiZCtprs1u","3 Nights","177666","0"
"44ADyYoY5liaRa3EOAl4uf","Slide Away","233654","0"
"0DiDStADDVh3SvAsoJAFMk","Only Human","183000","0"
"5zpGxLGLxQvgQzO8jYTzAU","Live In Life","216447","0"
"0g8Dq6OpSmWengqtLrVr77","The Reaper","182933","0"
"4ofwffwvvnbSkrMSCKQDaC","Shotgun","201287","0"
"6TqXcAFInzjp0bODyvrWEq","Talk (feat. Disclosure)","197573","0"
"6XHVuErjQ4XNm6nDPVCxVX","No Guidance (feat. Drake)","260640","1"
"7to68V64Cu6zk0UDo5tyw3","Confidence","253076","0"
"6Hj9jySrnFppAI0sEMCZpJ","Robbery","240050","1"
"3Dv1eDb0MEgF93GpLXlucZ","Say So","237893","1"
"3Z0oQ8r78OUaHvGPiDBR3W","Into the Unknown","194848","0"
"7dt6x5M1jzdTEt8oCbisTK","Better Now","231266","1"
"6zeeWid2sgw4lap2jV61PZ","Better","229320","0"
